run_dir,pred_file,true_file,n,ARI,Purity
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep0\labels.csv,128,0.035422,0.382812
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep1\labels.csv,128,0.108041,0.437500
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p25drop_rep2\labels.csv,128,0.158261,0.500000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep0\labels.csv,128,0.074764,0.445312
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep1\labels.csv,128,0.032823,0.390625
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p50drop_rep2\labels.csv,128,0.027243,0.382812
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep0\labels.csv,128,0.005186,0.335938
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep1\labels.csv,128,-0.003261,0.273438
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p75drop_rep2\labels.csv,128,0.004363,0.328125
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep0\labels.csv,128,0.514396,0.773438
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep1\labels.csv,128,0.154393,0.554688
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p0drop_rep2\labels.csv,128,0.201809,0.539062
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep0\labels.csv,128,0.397956,0.640625
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep1\labels.csv,128,0.237903,0.570312
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev40_p10drop_rep2\labels.csv,128,0.170041,0.515625
